epoch,accuracy,loss,val_accuracy,val_loss
0,0.5007352828979492,1.5640240907669067,0.7708333134651184,0.932790219783783
1,0.7551470398902893,0.8917498588562012,0.8055555820465088,0.6868150234222412
2,0.8264706134796143,0.6564132571220398,0.8888888955116272,0.5199249982833862
3,0.8845587968826294,0.4530811607837677,0.8680555820465088,0.4701871871948242
4,0.9308823347091675,0.33604609966278076,0.9236111044883728,0.36338964104652405
5,0.9617646932601929,0.2743033766746521,0.9027777910232544,0.3356654644012451
6,0.9698529243469238,0.22758936882019043,0.9375,0.3118188679218292
7,0.9764705896377563,0.19627855718135834,0.9375,0.30773627758026123
8,0.9889705777168274,0.16542477905750275,0.9583333134651184,0.23588238656520844
9,0.9941176176071167,0.13296838104724884,0.9444444179534912,0.23691733181476593
10,0.9977940917015076,0.11339320987462997,0.9444444179534912,0.2257821261882782
11,0.9977940917015076,0.1013396754860878,0.9375,0.21924848854541779
12,0.9977940917015076,0.09110025316476822,0.9652777910232544,0.2045629620552063
13,0.9985294342041016,0.08692657202482224,0.9722222089767456,0.17124170064926147
14,1.0,0.0742252767086029,0.9652777910232544,0.1954454779624939
15,1.0,0.0687645971775055,0.9583333134651184,0.18802958726882935
16,1.0,0.0640116035938263,0.9722222089767456,0.18084481358528137
17,1.0,0.05882280692458153,0.9652777910232544,0.18596012890338898
18,1.0,0.055105917155742645,0.9652777910232544,0.17667923867702484
19,0.9933823347091675,0.07931336015462875,0.8958333134651184,0.3584495186805725
20,0.9227941036224365,0.30353832244873047,0.8958333134651184,0.3612995743751526
21,0.9639706015586853,0.19347132742404938,0.8958333134651184,0.35717251896858215
22,0.987500011920929,0.10495910793542862,0.9583333134651184,0.19691571593284607
23,0.9970588088035583,0.06941266357898712,0.9513888955116272,0.17716164886951447
24,1.0,0.05337446555495262,0.9513888955116272,0.1758388876914978
25,1.0,0.0482136569917202,0.9722222089767456,0.14677967131137848
26,1.0,0.04545706883072853,0.9583333134651184,0.1611870974302292
27,1.0,0.043051108717918396,0.9583333134651184,0.16270095109939575
28,1.0,0.04204738512635231,0.9652777910232544,0.15833790600299835
29,1.0,0.039457663893699646,0.9583333134651184,0.15120398998260498
