epoch,accuracy,loss,val_accuracy,val_loss
0,0.5352941155433655,1.431400179862976,0.7638888955116272,0.9224792122840881
1,0.8257352709770203,0.6718760132789612,0.8472222089767456,0.6447358131408691
2,0.9022058844566345,0.44587770104408264,0.875,0.47632572054862976
3,0.9279412031173706,0.34223294258117676,0.9166666865348816,0.39772307872772217
4,0.9558823704719543,0.27513742446899414,0.8958333134651184,0.34980353713035583
5,0.9720588326454163,0.22333331406116486,0.9305555820465088,0.3146657347679138
6,0.9838235378265381,0.16797712445259094,0.9375,0.28020501136779785
7,0.9882352948188782,0.1472981870174408,0.9375,0.24842731654644012
8,0.9933823347091675,0.12510579824447632,0.9236111044883728,0.3414963483810425
9,0.9897058606147766,0.12539036571979523,0.9166666865348816,0.29941779375076294
10,0.9772058725357056,0.17319060862064362,0.9513888955116272,0.22296887636184692
11,0.9830882549285889,0.13348355889320374,0.9305555820465088,0.26292574405670166
12,0.9933823347091675,0.10714257508516312,0.9444444179534912,0.22972141206264496
13,0.9963235259056091,0.08643662184476852,0.9583333134651184,0.20118360221385956
14,0.9948529601097107,0.08389880508184433,0.9583333134651184,0.20538365840911865
15,0.9926470518112183,0.09515148401260376,0.9444444179534912,0.23266015946865082
16,0.9985294342041016,0.07355543226003647,0.9513888955116272,0.201555535197258
17,1.0,0.06493101269006729,0.9583333134651184,0.18631988763809204
18,1.0,0.05736462026834488,0.9513888955116272,0.1679859459400177
19,0.9985294342041016,0.05463249981403351,0.9513888955116272,0.19419120252132416
20,1.0,0.05139784514904022,0.9583333134651184,0.17709748446941376
21,1.0,0.04778312146663666,0.9513888955116272,0.1549050509929657
22,1.0,0.046013329178094864,0.9583333134651184,0.17150117456912994
23,1.0,0.04387211799621582,0.9652777910232544,0.1597387045621872
24,1.0,0.0415978841483593,0.9513888955116272,0.170536071062088
25,1.0,0.03968495875597,0.9652777910232544,0.15365734696388245
26,1.0,0.03778761252760887,0.9652777910232544,0.14530214667320251
27,1.0,0.0353662446141243,0.9652777910232544,0.14092373847961426
28,1.0,0.033690888434648514,0.9652777910232544,0.15204404294490814
29,1.0,0.03157178312540054,0.9652777910232544,0.15056709945201874
